What are these default filters?	{"additionalLinks": null, "summary": "If you often search in the same jurisdiction and practice area, the  product can apply those filters as defaults every time you search. Read through the options below to decide whether you want to use these options.  You can select them right now (after you close this help file) or you can make the same selections at any time from your Settings . If you make your selections now, you can change them at any time from theSettings page."}
What is a full document page?	{"additionalLinks": "Full Document Page,How do I save a document from my results to a folder?,How do I save text to a folder?,How do I copy text to the clipboard?,How do I use the  ?,How do I view a document in reading view?,How do I search for text in the document I'm viewing?", "summary": "When you select a document from your results, the full text of the document is displayed. The  pane to the right of the document lets you Shepardize \u00ae the document. About This Document provides more information about the document and access to the  so you can track the legal issues addressed in the case law document."}
What is the history feature?	{"additionalLinks": null, "summary": "You can quickly resume your work from past research sessions using the  history feature.  Your searches, search terms, documents, deliveries, and other activities are automatically saved in the history for up to 90 days. You can display your research history in a list view or a graphic (\"map\") view. You can access history by selecting home page, select the History at the top of any page, and then selecting a specific search or other item from the list, orView all history orResearch Map . Or, on theHistory pod, then select a specific item, or selectView all history orResearch Map at the bottom."}
 for students	{"additionalLinks": null, "summary": "The  Home page for students is a dashboard view of your online citation manual exercises. This page consists of six pods, which allow you to access the exercises and track your progress, as well as choose your professors and order physical copies of the manuals.These pods display your current status in each of your exercise manuals. At a glance you can see which exercises you've started, which you've completed, and which ones you still need to start. You can access any listed exercise directly to work on any that are not started or in progress, or to review any you have completed. You can also access the status page for any of the exercise manuals.Select the name of any exercise to work on that exercise. If you select an exercise you already completed, you will have the opportunity to request a reset, or to take it again for practice."}
 for professors	{"additionalLinks": null, "summary": "The  Home page for professors is a dashboard view allowing you to track and review your students' progress through their online citation manual exercises. In addition to managing student progress, the page's eight pods allow you to generate progress reports, alert you to possible issues to address in your classes, and request complimentary copies of the exercise books.These pods show how your students are progressing through the five most recently-worked exercises. The page contains one pod for each exercise manual (Bluebook, Bluebook State, ALWD, and ALWD State). You can also access progress for every exercise in a selected manual."}
Incorrectly Answered by 25% or More Students	{"additionalLinks": null, "summary": "The Incorrectly Answered by 25% or More Students page identifies exercise questions that may be giving your students trouble. Questions may be flagged for attention when the total number of students who gave an incorrect answer, skipped the question, and/or have not yet answered exceeds the number of students who gave a correct citation. Organized by manual and exercise, the list contains the top 100 problems that may need your attention."}
What is the  ?	{"additionalLinks": null, "summary": "The  lists cases that cite to the case you are viewing as well as cases your case has cited - for a specific legal issue or point of law. To use it, select for each case. Activate Passages and then select the passage dealing with the issue you are researching.  The list of cases is displayed with the"}
What are Topic Summaries?	{"additionalLinks": "Topic Summaries List,Topic Summary Report", "summary": "Topic Summaries are a collection of information about a legal topic that is addressed in a case you are viewing.  If legal topic summaries related to the case are available, you'll see Topic Summaries in theAbout This Document box to the right on the page.  Since a case may address multiple legal topics, you'll see aView Reports icon  in each  Headnote for which there is a topic summary.  Topic Summary reports include the following, when applicable (not all legal topic summaries have all of these):"}
What is the Lexis Advance bill tracking?	{"additionalLinks": null, "summary": "Bill tracking in  consists of two main tools, the Progress Bar, and the Legislative Outlook."}
About Lex Machina?	{"additionalLinks": null, "summary": "Lex Machina provides Legal Analytics\u00ae to law firms and companies, providing you the tools you can use to craft successful strategies, win cases, and close business. Lex Machina mines litigation data, revealing insights about judges, law firms, lawyers, parties, and case subjects themselves, culled from millions of pages of litigation information. Because analytics involve the discovery and communication of meaningful patterns in data, these insights are called \"Legal Analytics\".There are several ways you can access Legal Analytics for judges and law firms in Lexis Advance:"}
What are alerts in LexisNexis Practice Advisor?	{"additionalLinks": "How do I create an alert in  ?", "summary": "Alerts are notifications you can have  send you automatically whenever selected content changes.  When you create an alert, will monitor the selected content and alert you when new material is available.  You can create the following kinds of alerts:"}
What are  forms?	{"additionalLinks": null, "summary": "The heart of  are the hundreds of forms available to you.  Our teams of legal experts have put together a number of forms and checklists for each topic within each of the practice areas.  These blank forms contain standardized text, and are editable so you can supply the necessary information for each client's unique needs.  Where applicable, forms also include links to alternate clauses you can add, and alternative clauses you can use in place of standard text.  The table below briefly explains the tools and icons available on most form pages."}
What is the  Forms Index?	{"additionalLinks": null, "summary": "The  forms index provides you with an easy and quick way to navigate the hundreds of forms available to you.  This feature provides multiple options for form retrieval. This makes it possible to find the right form even if you only know part of the form name, or the particular practice area to which it applies. Select the link for the form you want to open by browsing, filtering, or searching by form and summary."}
 documents	{"additionalLinks": null, "summary": "In addition to its useful forms,  gives you access to a vast amount of guidance and useful information through its many documents and articles. When you select a document, its full text appears in a new page. Your search results and other documents remain accessible so that you can easily return to them as you continue your research. Additional information about the document and tools for working with it are are also located on the page.This drop-down list appears when you select text in a document. Tools you may see listed include the following:Select this to report with a list of other legal authorities that have cited your case. (To see a definition of the signal indicator, leave your mouse pointer over the signal for a few seconds.)Indicates the reporters for the document. If more than one reporter is displayed, you can select a different reporter name to display the document in that reporter.When you see these icons, you can select them to move through the document. These arrows take you from one search term to another (if you found the document using a search), or from one page to another (for documents such as Cases).This area contains links to information related to the case, plus several other types of documents. The items appearing in this section depend on what is available for the document you're viewing. Items you may see include: Shepardize the document.Shepardizing \u2122 the current citation verifies whether the case is still good, and provides a report listing other cases that have cited your case.This drop-down list appears at the top of document pages. The list displays the document's section headings, allowing you to navigate quickly through longer documents.Indicates the value of the case as a precedent. You can select the indicator toShepardize the case and display the current"}
Understanding Practice Advisor Search Results	{"additionalLinks": null, "summary": "The  reports provide a graphic view of verdict and settlement data for the cases in your results, presented through a number of charts and graphs . To view individual cases, select the Cite List tab and select from the list of cases."}
What is  ?	{"additionalLinks": null, "summary": " is an easy-to-use, intuitive practical guidance product that brings together key information and tools for attorneys who handle transactional matters. provides users with a range of valuable features, including: Meet our Authors"}
Understanding Attorney Reports for 	{"additionalLinks": null, "summary": "Once you find a specific attorney whose  profile you want to view, you can select his or her name to view that report. Using the left-side navigation, select one of the profile categories to view specific information about that category:"}
Understanding Expert Witness Reports for 	{"additionalLinks": null, "summary": "Once you find a specific expert witness whose  profile you want to view, you can select his or her name to view that expert's report:"}
Understanding Judge Reports in 	{"additionalLinks": null, "summary": "Once you find a specific judge whose  profile you want to view, you can select his or her name to view that report:"}
What are my options when searching for attorney, expert witness, or judge profiles?	{"additionalLinks": null, "summary": "When searching for an expert witness, attorney, or judge profile, you can search by name, or you can use pre-search filters to perform a more general search. The following table describes these different options:You can:You can:You can:  provides filtering tools to help you limit the scope of your results:"}
What is  ?	{"additionalLinks": null, "summary": "During the litigation process, you must often identify relevant information about the parties involved in a case, including expert witnesses, judges, and attorneys. Using  , you can search for a specific person or you can search for specific details about the person. (For example, if you are searching for an expert witness, you can search for an area of expertise, which can help you locate potential experts most closely associated with your case subject.) Once you locate the profile for which you are searching, you can view specific details about that person, such as cases in which he or she has been involved, rulings, and so forth. You can use this profile data to help you as you develop a case strategy."}
Understanding Overall Search Results for LexisNexis Litigation Profile Suite	{"additionalLinks": null, "summary": "Once you enter your search terms and filters and select the Search button,  searches for profiles that match the terms you defined at the search form. It then displays your results at the search results page."}
What if my  results contain unknown data?	{"additionalLinks": null, "summary": "The repository which  searches to locate data for expert witnesses, judges, and attorneys is quite large.  As such, some documents in that repository may not contain all of the data types you might expect to see listed. For example, some documents may not list the jurisdiction for the result while others may not list the area of law. When this information isn't included in the document, it is graphed as \"unknown data\" in the results."}
About 	{"additionalLinks": null, "summary": " is a tool that lets you include your internal document repository when performing research using ."}
What is the Research Map?	{"additionalLinks": "How do I find documents that are common to the results sets of 2 or more searches?,How do I find documents that are similar to documents I select from my results?,How do I rerun a search?,Research History Map Page,Tutorial: Using the  Research Map", "summary": "You can view a past research session in a graphical display with the  Research Map. When you select a search from the list, your search terms and results display on the map. The map shows every step of your research, such as the number of results found in each content type, the filters you applied to your results, filters you removed, documents you delivered, Home page, select the Shepardized \u00ae, or saved to a folder, and other activities. To open the Research Map, select History at the top of any page, thenResearch Map . Or, on theHistory pod, then select theResearch Map link at the bottom of the pod."}
What is the compare search results feature?	{"additionalLinks": null, "summary": "You can compare the results of up to 3 searches to find all the documents that occur in the result sets of all 3 searches using the Compare Search Results feature of the Research Map."}
What is the find similar documents feature?	{"additionalLinks": null, "summary": "You can find documents that are similar to up to 3 documents you select from a results set using the Find Similar Documents feature of the Research Map."}
What is  ?	{"additionalLinks": null, "summary": " is a customizable dashboard to help you complete medical and legal research. To start populating the dashboard, you'll need to automatically searches by specialty and geography. You can change those options using the takes you to the article text, with a table of contents in the left navigation bar.When you select this tool, a new page appears, displaying a search result set based on your topic. Lexis Advance includes a large and growing database of medical content, including an expansive collection of medical journals published by Elsevier. By default, this page displays Scientific content, but you can use the navigation tools on the left side of the page to see results for other content types. select a medical topic .To access this page, select View All Medical Topics at the top of the home page. The Medical Topics page appears. As you answer questions about your case in the research assistant, an interactive graph will populate with related verdicts and settlements in your jurisdiction.As you answer medical facts about your case, a chart populates on the right side of the page to point out any potential areas where the medical provider may have deviated from the standard of care.In the Legal Analysis tool, you must answer several questions before a search result appears.Narrow By tools on the left side of the page. Arrows at the top of the page allow you to browse your results.Based on the topic you have already selected, the Elsevier's First Consult page gives you a list of related topics. If you select a topic,"}
What is a  Member ID?	{"additionalLinks": null, "summary": "You are currently signed into  with an embedded Member ID (the ID is entered automatically when you access - you don't need to type it in).  When you use a Custom Interface or Library Patron Access, your Member ID gives you access to authorized content, products, and features from approved networks."}
What is starting a new browser session?	{"additionalLinks": null, "summary": "To start a new  session using a different ID without signing out or interrupting your current work, you can open a new browser session. To do this, go to your Internet browser (such as Google Chrome or Microsoft Internet Explorer\u00ae), and then do one of the following."}
What Are Folders?	{"additionalLinks": "How do I save my research?,How do I create a new folder?,How do I save a document from my results to a folder?,How do I save text to a folder?,How do I find an item saved in one of my folders?,1 How do I add a note to an item in one of my folders?,1 How do I edit a note in one of my folders?,How do I delete a note in one of my folders?,Folders (List View),Tutorial: Using Folders in Lexis Advance\u00ae", "summary": "When you're working on multiple projects and clients, you can organize your work by saving your searches, documents, notes, and alerts into folders, so you can return to them later. You can access your folders from:"}
What does the Run search as ... option do?	{"additionalLinks": "Developing a Natural Language Search,Using Search Connectors ( and ,or , etc.) and Commands (atleast )", "summary": "When you enter a search, you don't need to enter your terms using terms and connectors or natural language guidelines because  automatically determines which type of search to perform from your search terms.  For example, if you enter will run a terms and connectors search, because the connector \"and\" is part of the search. budget and deficit ,"}
What is a non-jurisdictional content?	{"additionalLinks": null, "summary": "Non-jurisdictional content is content that is not associated with a specific jurisdiction. For example, a general treatise on contract law that is relevant to an attorney in any state is non-jurisdictional content."}
What are the About and Notes tabs?	{"additionalLinks": null, "summary": "When you view a document, you'll see a box to the right of the document with tabs for About andNotes ."}
What are  Notifications?	{"additionalLinks": null, "summary": "When you share an item, such as a document, a folder, or an alert, you send a notification to the people you have shared the item with.  When someone shares an item with you, you will receive a notification about it.  Notifications are also sent when you or someone else stops sharing an item that has been shared, or adds or removes an item in a shared folder."}
What is a  practice center?	{"additionalLinks": "How do I use a  practice center?,How do I search using a  practice center?", "summary": "A  Practice Center provides customized, curated content with fast access to the top sources, news, and key legal topics for your practice area or a jurisdiction. You can perform much of your research from your practice center, while still having access to all content and products from the viewpoint of your practice area or jurisdiction."}
Why should I get items?	{"additionalLinks": null, "summary": "If you choose to, you can select \"Get It Now!\" to retrieve documents or  reports for a fee. Documents available are not included in your subscription, so will be marked \"out of plan\"."}
What is a results list?	{"additionalLinks": null, "summary": "A results list is the list of results produced by a search. After you run a search that produces multiple results,  displays a results page consisting of two panes. The left pane lists the content types you searched and contains filters that enable you to narrow your results. The right pane initially lists either a snapshot of all results or the results for one of the content types you searched.After you display the results for a specific content type, the to repeat automatically at periodic intervals. You can use search alerts to check for new results over time. For more information, see folders. For more information, see automatically determines whether to run a Narrow By heading appears in the left pane, followed by any jurisdiction, legal topic, or source filters you applied to the search. Below that, a list of headings appears, and you can select them in order to filter your results further.  For example, you can enter additional terms in theSearch Within Results search box to narrow the currently displayed results to only documents containing those terms. Note that the headings that appear can vary, depending on the content type you are viewingIf a document falls outside your subscription plan, either aGet It Now! link appears in the results list below the document title or an Additional Charges Will Apply icon (Get It Now! link, you will be accepting the listed charges, and the document will appear. If you select a parallel citation preceded by an Additional Charges Will Apply icon (Sort by drop-down list to sort the list in different ways, depending on the content type.In theExclude legal phrase equivalents from theActions list at the top of the results list. Or, if you specified your searches should NOT include legal phrase equivalents, you can include them by selectingInclude legal phrase equivalents .When you run a search,Run as terms & connectors from theActions drop-down list to run it as a terms & connectors search. Likewise, if the search is run as a terms & connectors search, you can selectRun as natural language to run it as a natural language search. For more information on these different types of searches, see  ) appears below the title to the left of each of the parallel citation hyperlinks. If you select the ), the Additional Charges Will Apply page appears, where you either accept the charges and access the document or cancel the transaction. For more information on accessing documents outside your subscription plan, see ) icon at the top of the results list to save your current search as a search alert. A search alert is a search you schedule ) to print, email, or  .You can select the alerts ( .You can select the delivery options button (download results. You can alsosend results to Dropbox . For more information, see .In addition to downloading results, you can also save them to .By default, when you display the results for a specific content type, they are listed in order of relevance. You can select options  in theSettings option, if you specified that your searches should include legal phrase equivalents, you can remove them from your results by selectingnatural language or terms & connectors search . If the current search is run as a natural language search, then after the results appear, you can selectCreating natural language or terms & connectors searches ."}
What is narrowing my results?	{"additionalLinks": "Results List Page,How do I narrow or filter my results after a search?,How do I save my research?", "summary": "Your search results may be presented in one of the following ways:For searches that retrieve multiple documents, your results are displayed as a list. On the left side of the page, you can view options for narrowing your results to a specific category type. If you want to view at-a-glance details for every category all at once, you can view the Snapshot page."}
What is a  search?	{"additionalLinks": "How do I search using  ?,How do I use search connectors?,How do I restrict my search using filters?,How do I Shepardize \u00ae a document when I know its citation?,Tutorial: Searching", "summary": "You can use  to search sources and related Web content or to Shepardize\u00ae a citation. Select Search: Everything to the left of the search button (  ) to limit your search results to specific:"}
What is the top citing reference?	{"additionalLinks": null, "summary": "The Shepard's editorial team analyzes the cases, which determines the Shepard's Signal\u2122 indicator assigned to it. If there are several determinative cases, the top one is selected with a link to view all cases that generated the signal. You can link to the citing case to review the passage to determine if a particular Shepard's Signal indicator is applicable to the matter you are researching. In addition, subsequent history is provided if it is associated with the Shepard's Signal indicator."}
What is a Shepard's  citation search?	{"additionalLinks": null, "summary": "The  Citations Service provides a comprehensive report of the cases, statutes, secondary sources, and annotations that cite your authority, including more recent cases that rely on your starting case. You can use this report to quickly validate your research and ensure you have good law."}
What is Shepard's BriefCheck	{"additionalLinks": "What is a Shepard's \u00ae citation search?,What is QuoteCheck\u0099", "summary": "Shepard's\u00ae BriefCheck\u0099 is a wizard-like feature that extracts citations from documents you upload. Then, BriefCheck takes you through the process of generating reports for your citations. You have the option to request Shepard's reports for citations, to retrieve the document a citation points to, or to check cited quotations for accuracy. For more information, please refer to:"}
What is Shepard's BriefCheck	{"additionalLinks": null, "summary": "You can now export Shepard's\u00ae reports to Microsoft\u0099 Excel\u0099. By delivering Shepard\u2019s reports in Excel format, you can take advantage of that application\u2019s features to manipulate those reports and the up to 10,000 citing referenced available each report. Please note that only Shepard's reports can be exported to Excel. If you choose this option, BriefCheck will clear other services."}
What is QuoteCheck	{"additionalLinks": null, "summary": "QuoteCheck\u0099 is a service offered through Shepard's\u00ae BriefCheck\u0099 that verifies the quotations in your brief are valid and correctly cited. You can select a report for each quote, and the service will let you know if:"}
What is Shepard's BriefLink?	{"additionalLinks": null, "summary": "Shepard's\u00ae BriefLink changes citations in your document to live links to Lexis Advance\u00ae materials. \n\t\tSimply upload a document from your desktop or network drive. Next, choose the document type you want emailed, either a Word document \n\t\tor a PDF. Shepard's BriefLink creates a new version of the brief with active links to materials on \n\t\tLexis Advance\u00ae. You also have the option to create Shepardize\u00ae links to updated Shepard's reports for your citation, \n\t\twhen applicable. The updated brief is emailed to the recipients of your choice."}
What is Shepard's More Like This Headnote	{"additionalLinks": null, "summary": "Shepard's \u00ae More Like This Headnote feature lets you find other headnotes that are similar to the one you are currently viewing. Just click the  to see similar headnotes and/or paragraphs from the case.  The results will include up to three headnotes for each case, or a paragraph of text with similar terms from the headnote."}
What is a Shepard's  phrase level indicator?	{"additionalLinks": null, "summary": "These indicators reflect the signal generating value of the editorial phrase next to the indicator."}
What is a Shepard's  depth of discussion indicator?	{"additionalLinks": null, "summary": "These indicators show you the various ways in which citing documents consider the cited reference. The number of bars shown indicates the relative differences between the categories."}
What is the Snapshot view?	{"additionalLinks": null, "summary": "The Snapshot provides an at-a-glance view of your results for all the categories you selected for your search.  The first 4 categories you selected appear on the first page of the snapshot, with the category you selected to start in at the top. The first 3 document names in each category are listed with a portion of the first line of text of the document (depending on the category).  To see the results from any other of the categories, selectView More Categories at the bottom of the page.  You can:"}
What is source selection?	{"additionalLinks": "How do I select a specific source to search in?,How do I save a source as a favorite?,Recent & Favorites", "summary": "You can select a specific source or sources in which to search. If there is a source you often search in, you can save that source as a favorite for future searches."}
What is  ?	{"additionalLinks": null, "summary": "Using  , you can simplify your tax research by conducting a single search across multiple resources, which might include cases, codes, regulations, tax analysis, tax commentary, tax news, and other information required to practice tax law."}
What is Table of Contents browsing?	{"additionalLinks": null, "summary": "In full document view, you can use the Table of Contents to display a document's location within a publication and navigate to other documents in that publication. For example, if you are viewing a specific Statute section, the Table of Contents displays the structure of the entire statute, showing the names of the sections before and after the one you are viewing."}
Tutorial: Using Lexis Advance Alerts	{"additionalLinks": null, "summary": "The tutorial below introduces you to using the  Alerts feature. Full-size andtext-only versions are also available."}
Tutorial: Delivering Results in Lexis Advance	{"additionalLinks": null, "summary": "The tutorial below introduces you to delivering your results in  . Full-size andtext-only versions are also available."}
Tutorial: Using Folders in Lexis Advance	{"additionalLinks": null, "summary": "The tutorial below introduces you to using  Folders. A Full-size version is also available."}
Tutorial: Getting Started with Lexis Advance	{"additionalLinks": null, "summary": "The tutorial below will help get you started with using the  system by highlighting many of the features and functions. Full-size andtext-only versions are also available."}
Tutorial: Viewing Your Search History in the History List View	{"additionalLinks": null, "summary": "The tutorial below shows you how to work with your search history in the History List view. Full-size andtext-only versions are also available."}
Tutorial: Using the  Research Map	{"additionalLinks": null, "summary": "The tutorial below introduces you to using the  Research Map and its key features. Full-size andtext-only versions are also available."}
Tutorial: Working with Search Results	{"additionalLinks": null, "summary": "The tutorial below shows you how to work with your search results in  . Full-size andtext-only versions are also available."}
Tutorial: Searching	{"additionalLinks": null, "summary": "The tutorial below introduces you to searching with  . Full-size andtext-only versions are also available."}
Tutorial: Shepard's Appellate History	{"additionalLinks": null, "summary": "The tutorial below introduces you to using the Shepard's\u00ae Appellate History feature. Full-size andtext-only versions are also available."}
Tutorial: Shepard's Citing Decisions	{"additionalLinks": null, "summary": "The tutorial below introduces you to Shepard's\u00ae Citing Decisions. Full-size andtext-only versions are also available."}
Tutorial: Using  Headnotes in Reports	{"additionalLinks": null, "summary": "The tutorial below introduces you to using  Headnotes in Reports. Full-size andtext-only versions are also available."}
Tutorial: Overview of the  Citations Service	{"additionalLinks": null, "summary": "The tutorial below introduces you to using the  . Full-size andtext-only versions are also available."}
Tutorial:  Table of Authorities	{"additionalLinks": null, "summary": "The tutorial below introduces you to  Table of Authorities. Full-size andtext-only versions are also available."}
Tutorial: Using the Lexis Advance 	{"additionalLinks": null, "summary": "The tutorial below introduces you to using the  and its key features. Full-size andtext-only versions are also available."}
Tutorial: Using the  Service	{"additionalLinks": null, "summary": "The tutorial below introduces you to using the  service and its key features. Full-size andtext-only versions are also available."}
Tutorial: Viewing a Sample  Report	{"additionalLinks": null, "summary": "The tutorial below reviews a sample  report and some of the report features. Full-size andtext-only versions are also available."}
What is Lexis Advance?	{"additionalLinks": null, "summary": " is a legal research tool that is efficient and easy to use, and includes the following product features."}
What are Zip files?	{"additionalLinks": null, "summary": "When you email, download, or send documents to Dropbox, you have the option to send the files in ZIP format. \"Zipped\" files are compressed to make the files smaller.  They have the following advantages:"}
Sources Available to 	{"additionalLinks": null, "summary": " uses the following sources for showing verdicts and settlements:"}
Compare Search Results or Find Similar Documents Alert Page	{"additionalLinks": null, "summary": "When you use the Compare Search Results orFind Similar Results feature from the research map, then selectCreate an alert from the results, use this form to create an alert to run the search on a schedule you set up."}
Create New Compare Search Results or Find Similar Results Alert Page	{"additionalLinks": null, "summary": "When you use the Compare Search Results orFind Similar Results feature from the research map, then selectCreate an alert from the results, use this form to create an alert to find additional new documents common to the searches. These alerts can be run on a schedule you set up."}
Create New Legislative or Regulatory Alert Page	{"additionalLinks": null, "summary": "Use this form to create a legislative or regulatory alert and specify how often you want to be notified of any results, how you want to receive the results, and other options."}
Create New Entity Alert Page	{"additionalLinks": null, "summary": "Use this form to create an entity alert and specify how often you want to be notified of any results, how you want to receive the results, and other options."}
Create New Pending Legislative Alert Page	{"additionalLinks": null, "summary": "Use this form to create a pending legislative alert and specify how often you want to be notified of any results, how you want to receive the results, and other options."}
Create New Publication Alert Page	{"additionalLinks": null, "summary": "Use this form to create a publication alert and specify how often you want to be notified of any results, how you want to receive the results, and other options."}
Create a Search Alert Page (Lexis Advance Tax)	{"additionalLinks": null, "summary": "Use this form to create a tax search alert and specify how often you want to be notified of any results, how you want to receive the results, and other options."}
Create New Search Alert Page	{"additionalLinks": null, "summary": "Use this form to create a search alert and specify how often you want to be notified of any results, how you want to receive the results, and other options."}
Create New Topic Alert Page	{"additionalLinks": null, "summary": "Use this form to create a topic alert and specify how often you want to be notified of any results, how you want to receive the results, and other options."}
Edit Tax Alert	{"additionalLinks": null, "summary": "Use this form to edit a search alert and specify how often you want to be notified of any results, how you want to receive the results, and other options."}
Edit Entity Alert Page	{"additionalLinks": null, "summary": "Use this form to edit an existing entity alert.  You can change your selections for these options:"}
Edit Alert Page	{"additionalLinks": null, "summary": "Use this form to edit an existing alert.  You can change your selections for these options:"}
Edit Legislative or Regulatory Alert Page	{"additionalLinks": null, "summary": "Use this form to edit an existing legislative alert.  You can change your selections for these options:"}
Edit Topic Alert Page	{"additionalLinks": null, "summary": "Use this form to create a topic alert and specify how often you want to be notified of any results, how you want to receive the results, and other options."}
Edit Pending Legislative Alert Page	{"additionalLinks": null, "summary": "Use this form to edit an existing pending legislative alert.  You can change your selections for these options:"}
Edit Publication Alert Page	{"additionalLinks": null, "summary": "Use this form to edit an existing publication alert. You can change your selections for these options:"}
Alerts List Page	{"additionalLinks": null, "summary": "You can view a list of all your alerts. To do this, you can either select View all alerts from theAlerts pod on theAlerts from theMore drop-down list at the top of any page. When you do, a page is opened with a list of all of your saved alerts.  home page, or you can choose"}
Alert Results Page	{"additionalLinks": null, "summary": "When you select a specific alert from the list of all your saved alerts, a page displays all of the results for that alert. The results of your alert appear as a list of documents. You can choose the type of document you want to view by selecting its link in the left-side pod."}
Create New  Page	{"additionalLinks": null, "summary": "Use this form to create a  and specify how often you want to be notified of any results, how you want to receive the results, and other options."}
Edit  Page	{"additionalLinks": null, "summary": "Use this form to edit an existing  .  You can change your selections for these options:"}
Save Alert Results to Folder Page	{"additionalLinks": null, "summary": ""}
Create Annotation Page	{"additionalLinks": null, "summary": "Use this form to make notes in a document stored in one of your folders and save them to view later."}
View, Edit, Delete Annotation Page	{"additionalLinks": null, "summary": "This form allows you to view, edit, or delete a note you stored with a document."}
Open a Specific Area	{"additionalLinks": null, "summary": "Use the area parameter to indicate the area of a specific product (such asarea parameter with thecontext parameter to specify your product. For a list of values that can be used with the context parameter, see  or LexisNexis\u00ae Practical Guidance) to open. If you don't specify an area, your default practice area appears. Use the "}
Download a Full Report Page	{"additionalLinks": null, "summary": "Use the buttons and boxes on the left side of this page to select the results and result format you want to include in your report. Use the boxes and buttons on the right side of the page to select your report cover sheet and page numbering options."}
Download Page	{"additionalLinks": null, "summary": "You can download either your results list or an individual document. To do this, provide the information for each tab of the Download dialog box. Details about each item on the dialog box are provided below."}
Send to Dropbox Page	{"additionalLinks": null, "summary": "You can send either your results list or an individual document to Dropbox. To do this, provide the information for each tab of the Send to Dropbox dialog box. Details about each item on the dialog box are provided below."}
Email Page	{"additionalLinks": null, "summary": "You can email either your results list or an individual document. To do this, provide the information for each tab of the Email dialog box. Details about each item on the dialog box are provided below."}
